customer_id,signup_date,country,age,acquisition_channel
C100000,2023-03-04,United Kingdom,66.0,Organic Search
C100001,2024-06-25,United Kingdom,22.0,Referral
C100002,2024-04-03,United Kingdom,60.0,Direct
C100003,2023-11-04,USA,47.0,Organic Search
C100004,2023-10-31,United Kingdom,61.0,Organic Search
C100005,2024-08-24,France,43.0,Paid Social
C100006,2023-03-02,Germany,27.0,Direct
C100007,2024-05-03,France,60.0,Referral
C100008,2023-05-22,United States,53.0,Direct
C100009,2023-03-07,Ireland,44.0,Paid Social
C100010,2024-01-04,United Kingdom,39.0,Organic Search
C100011,2024-11-13,United States,37.0,Email
C100012,2024-05-30,united kingdom,45.0,Organic Search
C100013,2024-06-16,Spain,32.0,Direct
C100014,2024-05-17,United States,34.0,Organic Search
C100015,2024-07-04,France,33.0,Paid Social
C100016,2023-12-26,United Kingdom,18.0,Email
C100017,2023-03-31,Ireland,,Email
C100018,2024-08-10,United States,31.0,Referral
C100019,2023-11-12,United States,27.0,Paid Social
C100020,2023-12-17,Ireland,26.0,Paid Search
C100021,2023-09-17,United States,74.0,Direct
C100022,2023-05-08,United States,45.0,Paid Search
C100023,2024-10-10,USA,36.0,Referral
C100024,2024-07-01,United Kingdom,41.0,Referral
C100025,2024-03-26,united kingdom,23.0,Referral
C100026,2023-10-09,United Kingdom,35.0,Paid Social
C100027,2024-07-29,United Kingdom,32.0,Paid Social
C100028,2024-01-17,France,63.0,Email
C100029,2023-11-07,USA,21.0,Organic Search
C100030,2023-11-12,UK,42.0,Organic Search
C100031,2023-06-09,United States,63.0,Paid Search
C100032,2023-03-06,United States,65.0,Organic Search
C100033,2024-01-24,Germany,47.0,Email
C100034,2024-09-13,Spain,30.0,Referral
C100035,2023-02-14,Spain,37.0,Organic Search
C100036,2024-08-23,United States,30.0,Paid Search
C100037,2024-08-02,united kingdom,55.0,Organic Search
C100038,2023-07-13,United States,34.0,Paid Search
C100039,2024-03-18,United States,53.0,Direct
C100040,2023-04-26,United States,55.0,Organic Search
C100041,2024-06-14,Germany,71.0,Organic Search
C100042,2024-05-05,United States,39.0,Paid Social
C100043,2023-09-06,united kingdom,72.0,Paid Social
C100044,2023-02-17,UK,40.0,Organic Search
C100045,2024-11-10,UK,56.0,Paid Search
C100046,2023-11-08,United Kingdom,55.0,Organic Search
C100047,2024-09-17,United Kingdom,,Direct
C100048,2024-04-19,Germany,44.0,Organic Search
C100049,2024-06-28,United States,63.0,Paid Search
C100050,2024-06-15,United Kingdom,38.0,Organic Search
C100051,2023-05-17,United States,46.0,Paid Social
C100052,2023-09-12,Germany,46.0,Email
C100053,2023-11-23,United Kingdom,58.0,Organic Search
C100054,2023-12-15,France,53.0,Direct
C100055,2023-01-31,Spain,22.0,Paid Social
C100056,2024-01-18,USA,64.0,Email
C100057,2023-04-19,Germany,61.0,Email
C100058,2024-06-04,United Kingdom,23.0,Referral
C100059,2024-04-23,Spain,,Organic Search
C100060,2024-10-07,United States,55.0,Organic Search
C100061,2024-06-05,Spain,22.0,Organic Search
C100062,2023-09-14,United States,46.0,Paid Social
C100063,2024-11-08,United Kingdom,65.0,Organic Search
C100064,2023-10-15,United Kingdom,33.0,Paid Search
C100065,2023-08-17,Germany,71.0,Email
C100066,2024-09-25,United States,41.0,Referral
C100067,2023-09-17,United Kingdom,30.0,Paid Social
C100068,2023-02-23,Germany,38.0,Paid Social
C100069,2023-11-25,France,47.0,Email
C100070,2024-07-10,United States,57.0,Paid Social
C100071,2023-05-13,United States,70.0,Paid Social
C100072,2023-11-21,United Kingdom,29.0,Email
C100073,2023-04-01,France,72.0,Email
C100074,2024-04-25,UK,,Paid Search
C100075,2023-11-29,France,25.0,Organic Search
C100076,2023-08-20,UK,70.0,Email
C100077,2023-06-08,United States,37.0,Organic Search
C100078,2024-01-31,United Kingdom,53.0,Paid Social
C100079,2024-04-13,United Kingdom,57.0,Direct
C100080,2024-10-20,Germany,18.0,Organic Search
C100081,2023-11-03,United States,30.0,Email
C100082,2023-04-23,United States,57.0,Paid Social
C100083,2024-08-05,Ireland,36.0,Organic Search
C100084,2024-03-16,Ireland,18.0,Paid Search
C100085,2024-05-05,France,19.0,Paid Social
C100086,2023-03-10,United Kingdom,,Direct
C100087,2023-08-07,USA,26.0,Paid Social
C100088,2024-06-21,France,23.0,Paid Search
C100089,2024-08-05,UK,50.0,Paid Social
C100090,2023-11-01,United Kingdom,24.0,Paid Social
C100091,2024-07-17,France,55.0,Direct
C100092,2024-08-12,United States,49.0,Paid Social
C100093,2023-09-29,United States,54.0,Paid Social
C100094,2024-09-20,Ireland,46.0,Paid Search
C100095,2023-07-21,USA,62.0,Email
C100096,2023-06-17,United States,54.0,Referral
C100097,2024-04-22,UK,41.0,Referral
C100098,2024-03-21,United States,18.0,Direct
C100099,2023-04-08,United Kingdom,33.0,Paid Search
C100100,2024-08-05,France,25.0,Email
C100101,2023-05-20,France,18.0,Paid Social
C100102,2024-07-17,united kingdom,33.0,Organic Search
C100103,2023-01-06,united kingdom,29.0,Referral
C100104,2024-07-11,France,22.0,Direct
C100105,2024-07-04,United Kingdom,35.0,Email
C100106,2024-06-30,United States,46.0,Organic Search
C100107,2024-04-10,United States,28.0,Paid Social
C100108,2023-11-27,Germany,33.0,Email
C100109,2024-05-08,United Kingdom,19.0,Direct
C100110,2023-07-13,Germany,20.0,Organic Search
C100111,2024-06-30,UK,,Referral
C100112,2024-01-24,USA,43.0,Direct
C100113,2023-11-18,United Kingdom,55.0,Paid Search
C100114,2023-12-20,United States,62.0,Organic Search
C100115,2024-02-03,United States,,Paid Search
C100116,2023-01-27,United Kingdom,53.0,Referral
C100117,2023-04-08,United Kingdom,71.0,Direct
C100118,2023-06-21,United Kingdom,32.0,Organic Search
C100119,2023-03-22,UK,63.0,Email
C100120,2023-11-04,United Kingdom,71.0,Referral
C100121,2024-04-12,Spain,50.0,Paid Social
C100122,2024-04-03,United States,65.0,Paid Social
C100123,2023-11-26,France,25.0,Email
C100124,2024-08-21,Ireland,68.0,Email
C100125,2024-01-31,United Kingdom,50.0,Organic Search
C100126,2023-02-25,Germany,30.0,Paid Social
C100127,2024-06-19,France,21.0,Organic Search
C100128,2024-02-07,Germany,59.0,Paid Search
C100129,2024-03-20,United States,42.0,Paid Search
C100130,2024-01-31,United States,35.0,Paid Social
C100131,2024-01-23,United Kingdom,40.0,Organic Search
C100132,2023-03-05,United States,74.0,Organic Search
C100133,2024-01-27,Ireland,42.0,Email
C100134,2024-07-10,Spain,22.0,Paid Search
C100135,2023-08-01,United Kingdom,,Email
C100136,2024-02-26,Germany,26.0,Organic Search
C100137,2023-01-22,united kingdom,57.0,Organic Search
C100138,2023-09-01,Spain,63.0,Organic Search
C100139,2023-11-02,United Kingdom,65.0,Direct
C100140,2024-11-18,Spain,54.0,Referral
C100141,2023-05-31,France,61.0,Email
C100142,2023-07-13,United Kingdom,,Paid Social
C100143,2023-10-13,United Kingdom,,Paid Search
C100144,2024-11-25,France,24.0,Paid Social
C100145,2024-08-20,United Kingdom,48.0,Direct
C100146,2023-01-25,United States,49.0,Paid Search
C100147,2023-06-13,Spain,19.0,Email
C100148,2024-07-29,United States,49.0,Paid Search
C100149,2023-02-10,United States,59.0,Paid Social
C100150,2024-08-21,United States,38.0,Referral
C100151,2023-07-16,United Kingdom,49.0,Organic Search
C100152,2024-10-04,Ireland,34.0,Email
C100153,2023-07-25,united kingdom,33.0,Organic Search
C100154,2023-11-01,United Kingdom,25.0,Organic Search
C100155,2024-04-08,united kingdom,36.0,Organic Search
C100156,2023-03-30,Ireland,63.0,Paid Social
C100157,2024-01-25,United Kingdom,71.0,Email
C100158,2023-12-20,France,54.0,Email
C100159,2024-07-02,Germany,53.0,Paid Social
C100160,2024-11-28,France,52.0,Paid Search
C100161,2024-04-10,Ireland,45.0,Paid Search
C100162,2023-10-14,France,42.0,Organic Search
C100163,2023-10-12,Spain,53.0,Paid Social
C100164,2023-10-20,United Kingdom,62.0,Referral
C100165,2024-07-23,France,41.0,Direct
C100166,2023-08-13,United States,50.0,Paid Social
C100167,2023-04-27,United States,44.0,Direct
C100168,2023-08-23,France,34.0,Organic Search
C100169,2023-01-16,Ireland,34.0,Paid Social
C100170,2023-03-16,Germany,22.0,Direct
C100171,2023-03-05,United States,43.0,Referral
C100172,2024-06-24,United States,58.0,Direct
C100173,2024-05-20,United States,57.0,Organic Search
C100174,2024-05-02,UK,74.0,Organic Search
C100175,2023-11-20,United States,20.0,Organic Search
C100176,2024-05-16,United Kingdom,61.0,Organic Search
C100177,2023-04-23,United Kingdom,63.0,Organic Search
C100178,2024-09-22,Germany,,Email
C100179,2023-12-17,United States,34.0,Email
C100180,2024-10-18,Spain,38.0,Referral
C100181,2023-04-17,USA,56.0,Paid Social
C100182,2023-12-15,United Kingdom,67.0,Organic Search
C100183,2024-05-02,United Kingdom,54.0,Referral
C100184,2023-12-13,United Kingdom,47.0,Organic Search
C100185,2023-11-09,Ireland,55.0,Paid Search
C100186,2023-04-27,United Kingdom,22.0,Organic Search
C100187,2023-09-24,United States,52.0,Email
C100188,2023-06-17,Spain,20.0,Paid Search
C100189,2023-07-31,Ireland,72.0,Email
C100190,2024-04-23,United Kingdom,68.0,Referral
C100191,2024-03-17,United Kingdom,46.0,Referral
C100192,2024-03-01,United Kingdom,39.0,Organic Search
C100193,2023-09-11,United Kingdom,59.0,Referral
C100194,2024-11-02,United Kingdom,54.0,Paid Search
C100195,2023-03-03,United States,58.0,Paid Search
C100196,2023-08-28,Spain,47.0,Paid Social
C100197,2023-03-24,United States,31.0,Paid Social
C100198,2023-08-26,USA,22.0,Direct
C100199,2024-11-04,United Kingdom,34.0,Email
C100200,2023-09-14,France,48.0,Paid Social
C100201,2024-09-28,USA,42.0,Organic Search
C100202,2023-12-13,France,46.0,Organic Search
C100203,2024-05-04,Spain,33.0,Email
C100204,2023-11-17,UK,71.0,Organic Search
C100205,2023-07-06,United Kingdom,38.0,Organic Search
C100206,2024-06-18,United Kingdom,66.0,Organic Search
C100207,2024-11-09,United States,40.0,Paid Search
C100208,2023-07-04,Spain,43.0,Organic Search
C100209,2024-06-29,UK,52.0,Organic Search
C100210,2023-07-02,Germany,32.0,Email
C100211,2024-05-16,United States,30.0,Organic Search
C100212,2024-07-06,United Kingdom,,Paid Search
C100213,2023-11-11,united kingdom,63.0,Paid Search
C100214,2024-05-30,Germany,26.0,Paid Social
C100215,2023-07-10,Germany,42.0,Paid Social
C100216,2023-02-25,United States,56.0,Paid Social
C100217,2023-03-09,United Kingdom,58.0,Organic Search
C100218,2023-11-09,Germany,42.0,Paid Social
C100219,2024-09-23,United Kingdom,22.0,Organic Search
C100220,2023-03-31,Spain,18.0,Organic Search
C100221,2023-11-16,United Kingdom,44.0,Email
C100222,2024-05-07,United Kingdom,64.0,Organic Search
C100223,2023-05-22,United States,19.0,Organic Search
C100224,2024-05-20,United States,68.0,Email
C100225,2023-08-03,United States,56.0,Paid Social
C100226,2024-07-20,United States,18.0,Organic Search
C100227,2024-02-10,Ireland,37.0,Organic Search
C100228,2024-01-18,United States,30.0,Organic Search
C100229,2023-05-04,United States,72.0,Organic Search
C100230,2023-11-21,United States,49.0,Direct
C100231,2024-08-22,United Kingdom,36.0,Paid Search
C100232,2023-01-14,USA,33.0,Paid Social
C100233,2024-06-14,United Kingdom,50.0,Paid Social
C100234,2023-12-11,Germany,18.0,Direct
C100235,2024-05-18,United Kingdom,32.0,Referral
C100236,2024-04-09,Ireland,27.0,Organic Search
C100237,2023-10-30,United States,53.0,Organic Search
C100238,2023-08-05,France,56.0,Paid Social
C100239,2024-03-15,United States,44.0,Email
C100240,2023-04-09,United Kingdom,25.0,Organic Search
C100241,2024-02-13,France,39.0,Paid Social
C100242,2023-03-08,Germany,66.0,Paid Social
C100243,2024-03-30,France,29.0,Paid Social
C100244,2024-03-16,United States,27.0,Email
C100245,2023-03-01,Germany,24.0,Referral
C100246,2024-06-14,France,64.0,Email
C100247,2023-10-19,Germany,24.0,Organic Search
C100248,2024-07-04,UK,51.0,Organic Search
C100249,2023-01-30,Germany,74.0,Direct
C100250,2023-05-06,Germany,54.0,Email
C100251,2023-12-12,Ireland,41.0,Organic Search
C100252,2023-05-12,UK,29.0,Paid Social
C100253,2023-08-19,United States,18.0,Direct
C100254,2024-04-07,France,26.0,Direct
C100255,2023-04-12,United States,72.0,Paid Search
C100256,2024-04-19,Germany,26.0,Referral
C100257,2023-03-14,United States,19.0,Paid Social
C100258,2023-05-03,United Kingdom,64.0,Paid Social
C100259,2024-02-16,Germany,41.0,Organic Search
C100260,2024-07-09,United Kingdom,38.0,Referral
C100261,2023-04-30,United Kingdom,58.0,Email
C100262,2023-07-29,USA,47.0,Organic Search
C100263,2024-10-09,Germany,,Paid Search
C100264,2024-11-23,France,44.0,Paid Social
C100265,2024-02-11,United Kingdom,58.0,Organic Search
C100266,2023-11-09,United Kingdom,68.0,Paid Social
C100267,2023-08-31,Spain,44.0,Paid Search
