order_id,customer_id,order_date,product_category,unit_price,quantity,discount_pct
ORD502873,C102005,2024-11-10,Books,32.85,1,0.0
ORD502101,C101468,2024-10-04,Electronics,626.83,1,0.0
ORD502169,C101520,2024-11-08,Home & Kitchen,12.51,1,0.2
ORD502941,C102052,2024-12-29,Apparel,115.83,1,0.0
ORD503288,C102291,2024-07-04,Sports & Outdoors,267.24,1,0.0
ORD500796,C100590,2024-07-30,Home & Kitchen,189.86,1,0.0
ORD501428,C101015,2024-09-06,Sports & Outdoors,147.85,1,0.2
ORD502607,C101812,2024-08-25,Toys,27.81,3,0.0
ORD501991,C101393,2024-09-17,Books,31.81,1,0.0
ORD503595,C102489,2023-12-13,Apparel,61.81,3,0.0
ORD501065,C100759,2024-06-11,Home & Kitchen,132.73,1,0.1
ORD501183,C100846,2024-10-15,Apparel,123.43,1,0.0
ORD501128,C100801,2024-07-25,Beauty,50.6,1,0.0
ORD501828,C101266,2024-09-07,Home & Kitchen,125.05,2,0.0
ORD501092,C100778,2024-01-18,Electronics,199.21,1,0.0
ORD502553,C101777,2024-10-12,Books,7.68,1,0.0
ORD503144,C102197,2024-09-11,Sports & Outdoors,64.89,1,0.0
ORD502128,C101481,2024-11-05,Toys,113.34,1,0.0
ORD501959,C101368,2024-12-17,Electronics,345.73,1,0.0
ORD501833,C101271,2023-07-13,Home & Kitchen,246.18,1,0.0
ORD501670,C101147,2024-12-14,Home & Kitchen,129.75,2,0.0
ORD500601,C100432,2024-12-01,Home & Kitchen,215.29,1,0.0
ORD500097,C100073,2023-06-13,Beauty,56.77,3,0.0
ORD501250,C100890,2023-10-28,Beauty,8.56,1,0.0
ORD500163,C100123,2024-10-06,Apparel,52.23,1,0.0
ORD503359,C102349,2024-04-18,Home & Kitchen,214.24,2,0.0
ORD503228,C102253,2024-03-30,Apparel,48.86,1,0.0
ORD501412,C101008,2024-10-24,Beauty,7.81,1,0.0
ORD501465,C101035,2024-10-21,Electronics,548.67,2,0.0
ORD502306,C101626,2024-06-01,Home & Kitchen,38.26,1,0.15
ORD500684,C100489,2024-05-29,Home & Kitchen,202.23,1,0.0
ORD500894,C100653,2024-09-27,Apparel,80.56,1,0.0
ORD501735,C101197,2024-12-01,Toys,6.19,1,0.1
ORD502649,C101839,2024-04-23,Electronics,427.48,1,0.1
ORD502210,C101552,2024-06-29,Electronics,448.06,1,0.0
ORD502822,C101966,2024-01-15,Toys,109.2,2,0.0
ORD502782,C101926,2024-01-24,Beauty,61.65,1,0.0
ORD500975,C100704,2023-11-27,Books,20.77,3,0.0
ORD500385,C100277,2024-11-14,Toys,64.25,1,0.0
ORD502673,C101854,2024-10-24,Toys,115.27,1,0.0
ORD502919,C102036,2024-02-20,Home & Kitchen,96.17,1,0.0
ORD500816,C100602,2024-08-06,Apparel,20.67,1,0.0
ORD501795,C101250,2023-08-09,Electronics,831.04,3,0.0
ORD503402,C102378,2024-12-16,Electronics,780.5,1,0.0
ORD500126,C100094,2024-10-14,Home & Kitchen,177.32,3,0.0
ORD501895,C101323,2024-11-27,Electronics,332.12,1,0.0
ORD500896,C100655,2024-06-11,Beauty,72.3,1,0.0
ORD500466,C100339,2024-11-10,Electronics,711.18,1,0.0
ORD502956,C102063,2024-08-23,Books,40.07,1,0.0
ORD503114,C102179,2024-01-16,Apparel,10.88,1,0.0
ORD502754,C101910,2024-06-14,Home & Kitchen,58.22,3,0.0
ORD500883,C100644,2024-11-12,Apparel,15.87,1,0.0
ORD503587,C102483,2024-04-22,Toys,100.39,2,0.0
ORD502727,C101890,2023-07-28,Toys,34.19,2,0.0
ORD500737,C100536,2024-12-07,Beauty,54.84,1,0.0
ORD501108,C100786,2023-06-09,Electronics,255.6,1,0.2
ORD500095,C100071,2024-04-22,Home & Kitchen,160.82,1,0.1
ORD502451,C101721,2024-06-24,Home & Kitchen,242.58,1,0.15
ORD500047,C100038,2024-11-02,Home & Kitchen,86.22,1,0.0
ORD500714,C100516,2024-09-16,Books,35.2,1,0.0
ORD502766,C101917,2024-01-21,Home & Kitchen,189.51,1,0.0
ORD503377,C102359,2023-08-07,Beauty,70.48,1,0.0
ORD503438,C102389,2024-12-20,Apparel,147.71,1,0.0
ORD500426,C100306,2023-10-05,Apparel,104.83,1,0.15
ORD501448,C101027,2024-05-08,Apparel,87.9,1,0.2
ORD501072,C100762,2024-12-06,Sports & Outdoors,67.24,1,0.15
ORD500146,C100111,2024-08-01,Beauty,57.59,1,0.0
ORD500278,C100192,2024-11-29,Books,25.77,1,0.0
ORD502574,C101787,2023-05-19,Toys,46.65,1,0.0
ORD503000,C102105,2023-09-13,Sports & Outdoors,270.97,2,0.0
ORD500722,C100520,2024-02-12,Apparel,66.84,1,0.0
ORD503093,C102162,2024-07-18,Toys,69.64,2,0.0
ORD500059,C100047,2024-10-02,Books,20.93,2,0.0
ORD500495,C100358,2024-04-11,Sports & Outdoors,161.59,1,0.0
ORD501678,C101152,2024-07-29,Apparel,101.62,1,0.0
ORD503484,C102410,2024-01-21,Home & Kitchen,100.53,1,0.0
ORD501457,C101031,2024-10-28,Electronics,130.0,1,0.0
ORD501487,C101048,2024-04-12,Toys,86.41,2,0.0
ORD501587,C101098,2023-04-20,Books,38.79,1,0.0
ORD503539,C102459,2023-05-28,Books,34.35,1,0.0
ORD501603,C101106,2023-11-10,Beauty,44.09,1,0.0
ORD502952,C102061,2024-04-21,Sports & Outdoors,167.61,3,0.0
ORD500000,C100000,2024-09-18,Sports & Outdoors,197.07,1,0.1
ORD503397,C102374,2024-06-03,Toys,117.38,3,0.0
ORD500425,C100305,2024-07-02,Books,36.94,1,0.0
ORD500020,C100013,2024-10-29,Electronics,446.68,1,0.0
ORD501499,C101060,2024-10-04,Sports & Outdoors,166.55,1,0.0
ORD500228,C100162,2024-01-03,Electronics,222.96,1,0.0
ORD503210,C102243,2023-09-08,Home & Kitchen,180.83,1,0.0
ORD502751,C101908,2023-05-01,Sports & Outdoors,211.29,1,0.0
ORD500421,C100303,2024-09-28,Toys,64.14,1,0.0
ORD503305,C102306,2024-11-22,Books,35.99,1,0.15
ORD501634,C101127,2024-11-28,Books,36.88,1,0.0
ORD501736,C101198,2024-11-08,Toys,17.61,1,0.15
ORD502327,C101643,2024-05-18,Toys,8.89,1,0.1
ORD500378,C100272,2023-06-02,Apparel,80.78,1,0.0
ORD503326,C102318,2024-11-06,Toys,95.73,1,0.2
ORD500254,C100185,2024-11-16,Books,5.21,1,0.0
ORD502453,C101722,2024-05-27,Electronics,696.84,1,0.0
ORD502790,C101935,2023-09-14,Electronics,518.32,1,0.0
ORD500887,C100647,2024-03-30,Books,10.1,1,0.0
ORD503489,C102414,2024-05-29,Apparel,35.1,1,0.0
