customer_id,signup_date,plan,acquisition_channel,mrr,avg_logins_per_month,support_tickets_opened,nps_score,churn_date,is_churned
S202615,2022-11-15,Pro,Content/SEO,104.11,4.1,2,,2024-11-15,True
S200021,2022-07-30,Basic,Paid Ads,29.57,5.5,0,28.0,2024-03-30,True
S200250,2024-11-21,Pro,Content/SEO,89.57,9.9,0,,,False
S201693,2023-09-27,Basic,Paid Ads,27.76,2.5,0,44.0,2024-01-27,True
S201798,2024-05-23,Pro,Content/SEO,101.99,6.1,3,29.0,2024-11-23,True
S200154,2024-05-01,Basic,Paid Ads,31.4,9.5,0,8.0,,False
S202724,2024-01-08,Basic,Paid Ads,26.33,16.7,0,100.0,,False
S200332,2023-10-28,Pro,Content/SEO,92.95,14.5,1,-17.0,2024-03-28,True
S201194,2024-01-06,Pro,Organic,92.4,3.3,1,27.0,,False
S200895,2023-08-11,Pro,Referral,107.89,11.3,1,,,False
S202067,2023-02-10,Basic,Paid Ads,27.04,8.5,3,53.0,2023-10-10,True
S202852,2023-08-16,Pro,Organic,102.03,8.4,1,3.0,,False
S200070,2023-05-30,Basic,Content/SEO,31.17,2.9,1,37.0,2023-07-30,True
S201136,2022-11-28,Basic,Referral,26.82,1.2,2,43.0,2024-05-28,True
S201548,2024-09-08,Basic,Referral,31.4,10.3,0,30.0,,False
S202328,2023-12-30,Basic,Referral,30.83,5.4,2,,,False
S202708,2022-12-15,Basic,Organic,27.8,25.9,1,34.0,2024-09-15,True
S202814,2022-01-31,Pro,Organic,105.86,6.5,3,-1.0,2024-11-30,True
S201605,2024-04-25,Basic,Content/SEO,30.3,1.1,1,43.0,,False
S200883,2022-06-04,Pro,Organic,94.37,3.3,1,30.0,2023-11-04,True
S202762,2023-12-30,Pro,Organic,104.61,6.2,3,,2024-10-30,True
S201028,2022-03-21,Basic,Paid Ads,30.58,3.7,2,,,False
S202433,2024-02-08,Basic,Sales-led,26.33,6.1,0,90.0,,False
S202335,2024-09-17,Basic,Sales-led,29.43,4.5,1,41.0,,False
S202450,2022-07-13,Pro,Paid Ads,102.8,22.6,3,32.0,2024-05-13,True
S202829,2022-11-30,Pro,Referral,95.03,3.8,2,33.0,2024-05-30,True
S202430,2023-09-03,Basic,Paid Ads,28.29,4.7,1,16.0,,False
S200940,2024-07-10,Pro,Content/SEO,100.91,11.1,0,9.0,,False
S201263,2022-05-04,Enterprise,Paid Ads,500.11,1.5,0,99.0,2024-01-04,True
S202502,2024-07-10,Basic,Organic,30.69,15.0,0,33.0,,False
S201747,2024-05-29,Basic,Organic,27.47,14.2,1,20.0,,False
S201072,2024-05-12,Enterprise,Content/SEO,455.85,20.7,1,34.0,,False
S200317,2022-08-18,Basic,Organic,30.85,4.0,1,50.0,2023-01-18,True
S200562,2022-06-12,Pro,Organic,106.13,10.0,2,67.0,,False
S201360,2024-04-10,Pro,Sales-led,101.36,6.6,0,23.0,,False
S200350,2022-04-02,Basic,Sales-led,31.32,11.6,1,68.0,,False
S200414,2022-07-26,Basic,Paid Ads,30.89,7.2,1,24.0,,False
S202225,2023-05-19,Enterprise,Referral,493.66,3.0,1,-6.0,,False
S202732,2023-11-25,Basic,Sales-led,26.13,22.8,1,,,False
S200669,2024-04-24,Pro,Sales-led,96.38,13.2,3,24.0,,False
S202140,2024-11-25,Basic,Paid Ads,28.08,6.2,2,18.0,,False
S200966,2023-03-14,Pro,Referral,91.2,10.7,1,61.0,2024-04-14,True
S201891,2022-09-16,Pro,Paid Ads,105.02,6.5,0,73.0,,False
S202171,2024-06-01,Pro,Paid Ads,102.93,7.5,1,55.0,2024-09-01,True
S201574,2024-06-27,Pro,Organic,103.72,11.8,1,35.0,,False
S202021,2023-02-25,Basic,Sales-led,26.21,14.6,0,41.0,,False
S202956,2022-06-01,Enterprise,Content/SEO,500.58,19.5,2,51.0,2023-04-01,True
S201014,2024-10-31,Pro,Referral,92.39,5.0,1,60.0,,False
S201059,2024-09-23,Basic,Organic,29.18,6.4,1,46.0,,False
S200030,2023-02-02,Enterprise,Sales-led,525.57,17.9,1,1.0,,False
S201931,2022-02-12,Basic,Sales-led,28.77,2.8,4,,2024-04-12,True
S200549,2024-01-01,Basic,Organic,27.64,4.1,1,,,False
S202673,2023-03-05,Basic,Organic,31.64,5.3,0,22.0,,False
S201352,2022-03-18,Basic,Content/SEO,29.58,14.1,0,,2023-06-18,True
S201460,2022-11-24,Basic,Organic,30.75,1.2,4,69.0,2023-04-24,True
S200458,2023-03-29,Basic,Sales-led,31.47,8.9,1,10.0,,False
S201748,2022-06-29,Basic,Paid Ads,28.18,4.3,1,23.0,2022-10-29,True
S200880,2024-04-23,Enterprise,Content/SEO,518.09,10.7,3,,,False
S200266,2024-08-10,Pro,Paid Ads,93.37,12.7,2,27.0,,False
S200828,2022-04-20,Basic,Paid Ads,26.64,8.2,2,18.0,2023-04-20,True
S202618,2023-03-22,Pro,Organic,94.53,10.4,0,,,False
S201264,2024-06-14,Pro,Referral,95.6,9.2,0,-27.0,,False
S201511,2023-04-27,Enterprise,Paid Ads,455.66,11.9,1,3.0,,False
S202628,2022-09-07,Basic,Paid Ads,31.43,7.6,1,52.0,2023-02-07,True
